file,listing,post_code,index,attachment_id,url,alt,alt_source,status
L03_DWyzOlzCAPV_01.jpg,L03,DWyzOlzCAPV,1,7671,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DWyzOlzCAPV_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, תמונה 9",fallback,uploaded
L03_DXga6EujQAN_01.jpg,L03,DXga6EujQAN,1,7672,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DXga6EujQAN_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, תמונה 10",fallback,uploaded
L03_DYZNSC0tiMY_01.jpg,L03,DYZNSC0tiMY,1,7673,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DYZNSC0tiMY_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, תמונה 11",fallback,uploaded
L03_DZpEAFUIOLw_01.jpg,L03,DZpEAFUIOLw,1,7674,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DZpEAFUIOLw_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, תמונה 12",fallback,uploaded
L03_DZudqxmjKyR_01.jpg,L03,DZudqxmjKyR,1,7675,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DZudqxmjKyR_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הסלון והמטבח",shotlist #2,uploaded
L03_DZudqxmjKyR_02.jpg,L03,DZudqxmjKyR,2,7676,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DZudqxmjKyR_02.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הסלון והמטבח",shotlist #2,uploaded
L03_DZudqxmjKyR_03.jpg,L03,DZudqxmjKyR,3,7677,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DZudqxmjKyR_03.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הסלון והמטבח",shotlist #2,uploaded
L03_DZudqxmjKyR_04.jpg,L03,DZudqxmjKyR,4,7678,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DZudqxmjKyR_04.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הנוף מהמרפסת לים",shotlist #1,uploaded
L03_DZudqxmjKyR_05.jpg,L03,DZudqxmjKyR,5,7679,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DZudqxmjKyR_05.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הנוף מהמרפסת לים",shotlist #1,uploaded
L03_DcK4k9ZiPW9_01.jpg,L03,DcK4k9ZiPW9,1,7680,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DcK4k9ZiPW9_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הנוף מהמרפסת לים",shotlist #1,uploaded
L03_DcK4k9ZiPW9_02.jpg,L03,DcK4k9ZiPW9,2,7681,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DcK4k9ZiPW9_02.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הסלון והמטבח",shotlist #2,uploaded
L03_DcK4k9ZiPW9_03.jpg,L03,DcK4k9ZiPW9,3,7682,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DcK4k9ZiPW9_03.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, הסלון והמטבח",shotlist #2,uploaded
L03_DcvZdVHDITS_01.jpg,L03,DcvZdVHDITS,1,7683,https://nad-lan.co.il/wp-content/uploads/2026/09/L03_DcvZdVHDITS_01.jpg,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה, תמונה 21",fallback,uploaded
L04_DUihlb9CJxh_01.jpg,L04,DUihlb9CJxh,1,7684,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DUihlb9CJxh_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 1",fallback,uploaded
L04_DV8_KnOj_PA_01.jpg,L04,DV8_KnOj_PA,1,7685,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DV8_KnOj_PA_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 2",fallback,uploaded
L04_DYwsr2IILC5_01.jpg,L04,DYwsr2IILC5,1,7686,https://nad-lan.co.il/wp-content/uploads/2026/09/L04_DYwsr2IILC5_01.jpg,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין, תמונה 3",fallback,uploaded
