source_file,link_or_asset,status
projects/carmel-market.html,../assets/js/site.js,ok
projects/central-station.html,../assets/css/site.css,ok
projects/central-station.html,../index.html,ok
projects/central-station.html,../index.html#projects,ok
projects/central-station.html,../guides/how-planning-works.html,ok
projects/central-station.html,../guides/infrastructure-2026.html,ok
projects/central-station.html,../sources.html,ok
projects/central-station.html,../disclosure.html,ok
projects/central-station.html,../index.html,ok
projects/central-station.html,../index.html#projects,ok
projects/central-station.html,../assets/img/central-station.png,ok
projects/central-station.html,../projects/florentin.html,ok
projects/central-station.html,../projects/yad-eliyahu.html,ok
projects/central-station.html,../guides/how-planning-works.html,ok
projects/central-station.html,../sources.html,ok
projects/central-station.html,../disclosure.html,ok
projects/central-station.html,../assets/js/site.js,ok
projects/florentin.html,../assets/css/site.css,ok
projects/florentin.html,../index.html,ok
projects/florentin.html,../index.html#projects,ok
projects/florentin.html,../guides/how-planning-works.html,ok
projects/florentin.html,../guides/infrastructure-2026.html,ok
projects/florentin.html,../sources.html,ok
projects/florentin.html,../disclosure.html,ok
projects/florentin.html,../index.html,ok
projects/florentin.html,../index.html#projects,ok
projects/florentin.html,../assets/img/florentin.png,ok
projects/florentin.html,../projects/carmel-market.html,ok
projects/florentin.html,../projects/central-station.html,ok
projects/florentin.html,../guides/infrastructure-2026.html,ok
projects/florentin.html,../sources.html,ok
projects/florentin.html,../disclosure.html,ok
projects/florentin.html,../assets/js/site.js,ok
projects/hatikva-reparcelation.html,../assets/css/site.css,ok
projects/hatikva-reparcelation.html,../index.html,ok
projects/hatikva-reparcelation.html,../index.html#projects,ok
projects/hatikva-reparcelation.html,../guides/how-planning-works.html,ok
projects/hatikva-reparcelation.html,../guides/infrastructure-2026.html,ok
projects/hatikva-reparcelation.html,../sources.html,ok
projects/hatikva-reparcelation.html,../disclosure.html,ok
projects/hatikva-reparcelation.html,../index.html,ok
projects/hatikva-reparcelation.html,../index.html#projects,ok
projects/hatikva-reparcelation.html,../assets/img/hatikva-reparcelation.png,ok
projects/hatikva-reparcelation.html,../projects/southeast-renewal.html,ok
projects/hatikva-reparcelation.html,../projects/kfir-renewal.html,ok
projects/hatikva-reparcelation.html,../guides/how-planning-works.html,ok
projects/hatikva-reparcelation.html,../sources.html,ok
projects/hatikva-reparcelation.html,../disclosure.html,ok
projects/hatikva-reparcelation.html,../assets/js/site.js,ok
projects/kfir-renewal.html,../assets/css/site.css,ok
projects/kfir-renewal.html,../index.html,ok
projects/kfir-renewal.html,../index.html#projects,ok
projects/kfir-renewal.html,../guides/how-planning-works.html,ok
projects/kfir-renewal.html,../guides/infrastructure-2026.html,ok
projects/kfir-renewal.html,../sources.html,ok
projects/kfir-renewal.html,../disclosure.html,ok
projects/kfir-renewal.html,../index.html,ok
projects/kfir-renewal.html,../index.html#projects,ok
projects/kfir-renewal.html,../assets/img/kfir-renewal.png,ok
projects/kfir-renewal.html,../projects/southeast-renewal.html,ok
projects/kfir-renewal.html,../projects/levana-renewal.html,ok
projects/kfir-renewal.html,../guides/how-planning-works.html,ok
projects/kfir-renewal.html,../sources.html,ok
projects/kfir-renewal.html,../disclosure.html,ok
projects/kfir-renewal.html,../assets/js/site.js,ok
projects/kikar-atarim.html,../assets/css/site.css,ok
projects/kikar-atarim.html,../index.html,ok
projects/kikar-atarim.html,../index.html#projects,ok
projects/kikar-atarim.html,../guides/how-planning-works.html,ok
projects/kikar-atarim.html,../guides/infrastructure-2026.html,ok
projects/kikar-atarim.html,../sources.html,ok
projects/kikar-atarim.html,../disclosure.html,ok
projects/kikar-atarim.html,../index.html,ok
projects/kikar-atarim.html,../index.html#projects,ok
projects/kikar-atarim.html,../assets/img/kikar-atarim.png,ok
projects/kikar-atarim.html,../projects/carmel-market.html,ok
projects/kikar-atarim.html,../guides/how-planning-works.html,ok
projects/kikar-atarim.html,../projects/sde-dov.html,ok
projects/kikar-atarim.html,../sources.html,ok
projects/kikar-atarim.html,../disclosure.html,ok
projects/kikar-atarim.html,../assets/js/site.js,ok
projects/levana-renewal.html,../assets/css/site.css,ok
projects/levana-renewal.html,../index.html,ok
projects/levana-renewal.html,../index.html#projects,ok
projects/levana-renewal.html,../guides/how-planning-works.html,ok
projects/levana-renewal.html,../guides/infrastructure-2026.html,ok
projects/levana-renewal.html,../sources.html,ok
projects/levana-renewal.html,../disclosure.html,ok
projects/levana-renewal.html,../index.html,ok
projects/levana-renewal.html,../index.html#projects,ok
projects/levana-renewal.html,../assets/img/levana-renewal.png,ok
projects/levana-renewal.html,../projects/southeast-renewal.html,ok
projects/levana-renewal.html,../projects/kfir-renewal.html,ok
projects/levana-renewal.html,../projects/ramat-hatayasim.html,ok
projects/levana-renewal.html,../sources.html,ok
projects/levana-renewal.html,../disclosure.html,ok
projects/levana-renewal.html,../assets/js/site.js,ok
projects/neot-afeka-b.html,../assets/css/site.css,ok
projects/neot-afeka-b.html,../index.html,ok
projects/neot-afeka-b.html,../index.html#projects,ok
projects/neot-afeka-b.html,../guides/how-planning-works.html,ok
projects/neot-afeka-b.html,../guides/infrastructure-2026.html,ok
projects/neot-afeka-b.html,../sources.html,ok
projects/neot-afeka-b.html,../disclosure.html,ok
projects/neot-afeka-b.html,../index.html,ok
projects/neot-afeka-b.html,../index.html#projects,ok
projects/neot-afeka-b.html,../assets/img/neot-afeka-b.png,ok
projects/neot-afeka-b.html,../projects/neve-avivim.html,ok
projects/neot-afeka-b.html,../projects/ramat-hatayasim.html,ok
projects/neot-afeka-b.html,../guides/how-planning-works.html,ok
projects/neot-afeka-b.html,../sources.html,ok
projects/neot-afeka-b.html,../disclosure.html,ok
projects/neot-afeka-b.html,../assets/js/site.js,ok
projects/neve-avivim.html,../assets/css/site.css,ok
projects/neve-avivim.html,../index.html,ok
projects/neve-avivim.html,../index.html#projects,ok
projects/neve-avivim.html,../guides/how-planning-works.html,ok
projects/neve-avivim.html,../guides/infrastructure-2026.html,ok
projects/neve-avivim.html,../sources.html,ok
projects/neve-avivim.html,../disclosure.html,ok
projects/neve-avivim.html,../index.html,ok
projects/neve-avivim.html,../index.html#projects,ok
projects/neve-avivim.html,../assets/img/neve-avivim.png,ok
projects/neve-avivim.html,../projects/neot-afeka-b.html,ok
projects/neve-avivim.html,../projects/northwest-3700.html,ok
projects/neve-avivim.html,../guides/how-planning-works.html,ok
projects/neve-avivim.html,../sources.html,ok
projects/neve-avivim.html,../disclosure.html,ok
projects/neve-avivim.html,../assets/js/site.js,ok
projects/northwest-3700.html,../assets/css/site.css,ok
projects/northwest-3700.html,../index.html,ok
projects/northwest-3700.html,../index.html#projects,ok
projects/northwest-3700.html,../guides/how-planning-works.html,ok
projects/northwest-3700.html,../guides/infrastructure-2026.html,ok
projects/northwest-3700.html,../sources.html,ok
projects/northwest-3700.html,../disclosure.html,ok
projects/northwest-3700.html,../index.html,ok
projects/northwest-3700.html,../index.html#projects,ok
projects/northwest-3700.html,../assets/img/northwest-3700.png,ok
projects/northwest-3700.html,../projects/sde-dov.html,ok
projects/northwest-3700.html,../guides/how-planning-works.html,ok
projects/northwest-3700.html,../guides/infrastructure-2026.html,ok
projects/northwest-3700.html,../sources.html,ok
projects/northwest-3700.html,../disclosure.html,ok
projects/northwest-3700.html,../assets/js/site.js,ok
projects/ramat-hatayasim.html,../assets/css/site.css,ok
projects/ramat-hatayasim.html,../index.html,ok
projects/ramat-hatayasim.html,../index.html#projects,ok
projects/ramat-hatayasim.html,../guides/how-planning-works.html,ok
projects/ramat-hatayasim.html,../guides/infrastructure-2026.html,ok
projects/ramat-hatayasim.html,../sources.html,ok
projects/ramat-hatayasim.html,../disclosure.html,ok
projects/ramat-hatayasim.html,../index.html,ok
projects/ramat-hatayasim.html,../index.html#projects,ok
projects/ramat-hatayasim.html,../assets/img/ramat-hatayasim.png,ok
projects/ramat-hatayasim.html,../projects/yad-eliyahu.html,ok
projects/ramat-hatayasim.html,../projects/levana-renewal.html,ok
projects/ramat-hatayasim.html,../guides/how-planning-works.html,ok
projects/ramat-hatayasim.html,../sources.html,ok
projects/ramat-hatayasim.html,../disclosure.html,ok
projects/ramat-hatayasim.html,../assets/js/site.js,ok
projects/sde-dov-participation.html,../assets/css/site.css,ok
projects/sde-dov-participation.html,../index.html,ok
projects/sde-dov-participation.html,../index.html#projects,ok
projects/sde-dov-participation.html,../guides/how-planning-works.html,ok
projects/sde-dov-participation.html,../guides/infrastructure-2026.html,ok
projects/sde-dov-participation.html,../sources.html,ok
projects/sde-dov-participation.html,../disclosure.html,ok
projects/sde-dov-participation.html,../index.html,ok
projects/sde-dov-participation.html,../index.html#projects,ok
projects/sde-dov-participation.html,../assets/img/sde-dov-participation.png,ok
projects/sde-dov-participation.html,../projects/sde-dov.html,ok
projects/sde-dov-participation.html,../guides/how-planning-works.html,ok
projects/sde-dov-participation.html,../projects/northwest-3700.html,ok
projects/sde-dov-participation.html,../sources.html,ok
projects/sde-dov-participation.html,../disclosure.html,ok
projects/sde-dov-participation.html,../assets/js/site.js,ok
projects/sde-dov.html,../assets/css/site.css,ok
projects/sde-dov.html,../index.html,ok
projects/sde-dov.html,../index.html#projects,ok
projects/sde-dov.html,../guides/how-planning-works.html,ok
projects/sde-dov.html,../guides/infrastructure-2026.html,ok
projects/sde-dov.html,../sources.html,ok
projects/sde-dov.html,../disclosure.html,ok
projects/sde-dov.html,../index.html,ok
projects/sde-dov.html,../index.html#projects,ok
projects/sde-dov.html,../assets/img/sde-dov.png,ok
projects/sde-dov.html,../projects/sde-dov-participation.html,ok
projects/sde-dov.html,../projects/northwest-3700.html,ok
projects/sde-dov.html,../guides/infrastructure-2026.html,ok
projects/sde-dov.html,../sources.html,ok
projects/sde-dov.html,../disclosure.html,ok
projects/sde-dov.html,../assets/js/site.js,ok
projects/southeast-renewal.html,../assets/css/site.css,ok
projects/southeast-renewal.html,../index.html,ok
projects/southeast-renewal.html,../index.html#projects,ok
projects/southeast-renewal.html,../guides/how-planning-works.html,ok
projects/southeast-renewal.html,../guides/infrastructure-2026.html,ok
projects/southeast-renewal.html,../sources.html,ok
projects/southeast-renewal.html,../disclosure.html,ok
projects/southeast-renewal.html,../index.html,ok
projects/southeast-renewal.html,../index.html#projects,ok
projects/southeast-renewal.html,../assets/img/southeast-renewal.png,ok
projects/southeast-renewal.html,../projects/kfir-renewal.html,ok
projects/southeast-renewal.html,../projects/levana-renewal.html,ok
projects/southeast-renewal.html,../projects/ramat-hatayasim.html,ok
projects/southeast-renewal.html,../sources.html,ok
