"path","bytes","modified"
"docs\qa\screenshots\stage1-public-trust-after\home-mobile-390.png","4284386","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\home-tablet-768.png","1662288","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\join-pro-desktop-1440.png","1041529","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\join-pro-mobile-390.png","1458868","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\join-pro-tablet-768.png","693784","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\professionals-desktop-1440.png","852554","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\professionals-mobile-390.png","3215576","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\professionals-tablet-768.png","1267236","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\report.json","55957","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\sitemap-desktop-1440.png","395026","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\sitemap-mobile-390.png","509835","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-after\sitemap-tablet-768.png","362407","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\dimri-yama-sde-dov-desktop-1440.png","4242085","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\dimri-yama-sde-dov-mobile-390.png","12450402","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\dimri-yama-sde-dov-tablet-768.png","3883456","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\home-desktop-1440.png","2970792","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\home-mobile-390.png","4310718","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\home-tablet-768.png","1667310","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\join-pro-desktop-1440.png","1070862","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\join-pro-mobile-390.png","1456216","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\join-pro-tablet-768.png","716019","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\professionals-desktop-1440.png","854225","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\professionals-mobile-390.png","3193996","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\professionals-tablet-768.png","1276681","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\report.json","83915","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\sitemap-desktop-1440.png","399890","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\sitemap-mobile-390.png","519725","2026-06-21T11:47:52"
"docs\qa\screenshots\stage1-public-trust-before\sitemap-tablet-768.png","361386","2026-06-21T11:47:52"
"docs\qa\screenshots\v1681-facade-truth-live-before\desktop-1440.png","660231","2026-06-21T11:47:52"
"docs\qa\screenshots\v1681-facade-truth-live-before\edge-mobile-390.png","608945","2026-06-21T11:47:52"
"docs\qa\screenshots\v1681-facade-truth-live-before\mobile-390.png","605370","2026-06-21T11:47:52"
"docs\qa\screenshots\v1681-facade-truth-live-before\report.json","19993","2026-06-21T11:47:52"
"docs\qa\screenshots\v1681-facade-truth-live-before\tablet-768.png","438217","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-after\desktop-1440.png","890612","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-after\edge-mobile-390.png","822758","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-after\mobile-390.png","817576","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-after\report.json","19597","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-after\tablet-768.png","609647","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-before\desktop-1440.png","838559","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-before\edge-mobile-390.png","661014","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-before\mobile-390.png","656336","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-before\report.json","19106","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-dimri-live-before\tablet-768.png","536164","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-rainbow-live-after\desktop-1440.png","889963","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-rainbow-live-after\edge-mobile-390.png","708396","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-rainbow-live-after\mobile-390.png","703635","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-rainbow-live-after\report.json","19293","2026-06-21T11:47:52"
"docs\qa\screenshots\v1682-rainbow-live-after\tablet-768.png","569648","2026-06-21T11:47:52"

